visit_date,hits,visitors,mean,anomalyClass
2018-09-25,199,57,3.491228070175439,0
2018-09-26,119,42,2.8333333333333335,0
2018-09-27,283,38,7.447368421052632,0
2018-09-28,135,32,4.21875,0
2018-09-29,124,23,5.391304347826087,0
2018-09-30,239,42,5.690476190476191,0
2018-10-01,136,48,2.8333333333333335,0
2018-10-02,167,32,5.21875,0
2018-10-03,126,49,2.5714285714285716,0
2018-10-04,100,35,2.857142857142857,0
2018-10-05,104,22,4.7272727272727275,0
2018-10-06,125,30,4.166666666666667,0
2018-10-07,458,27,16.962962962962962,1
2018-10-08,124,40,3.1,0
2018-10-09,217,33,6.575757575757576,0
2018-10-10,106,25,4.24,0
2018-10-11,159,26,6.115384615384615,0
2018-10-12,133,37,3.5945945945945947,0
2018-10-13,71,17,4.176470588235294,0
2018-10-14,232,32,7.25,0
2018-10-15,230,37,6.216216216216216,0
2018-10-16,167,56,2.982142857142857,0
2018-10-17,168,34,4.9411764705882355,0
2018-10-18,111,33,3.3636363636363638,0
2018-10-19,133,26,5.115384615384615,0
2018-10-20,182,65,2.8,0
2018-10-21,257,45,5.711111111111111,0
2018-10-22,177,45,3.933333333333333,0
2018-10-23,196,62,3.161290322580645,0
2018-10-24,248,44,5.636363636363637,0
2018-10-25,184,35,5.257142857142857,0
2018-10-26,1968,26,75.6923076923077,1
2018-10-27,116,25,4.64,0
2018-10-28,251,39,6.435897435897436,0
2018-10-29,201,59,3.406779661016949,0
2018-10-30,164,36,4.555555555555555,0
2018-10-31,170,30,5.666666666666667,0
2018-11-01,99,33,3.0,0
2018-11-02,130,22,5.909090909090909,0
2018-11-03,143,32,4.46875,0
2018-11-04,191,32,5.96875,0
2018-11-05,161,36,4.472222222222222,0
2018-11-06,125,28,4.464285714285714,0
2018-11-07,187,42,4.4523809523809526,0
2018-11-08,181,49,3.693877551020408,0
2018-11-09,224,32,7.0,0
2018-11-10,221,38,5.815789473684211,0
2018-11-11,326,44,7.409090909090909,0
2018-11-12,198,34,5.823529411764706,0
2018-11-13,142,27,5.2592592592592595,0
2018-11-14,142,35,4.057142857142857,0
2018-11-15,121,31,3.903225806451613,0
2018-11-16,248,31,8.0,0
2018-11-17,186,33,5.636363636363637,0
2018-11-18,274,37,7.405405405405405,0
2018-11-19,178,37,4.8108108108108105,0
2018-11-20,172,38,4.526315789473684,0
2018-11-21,82,24,3.4166666666666665,0
2018-11-22,171,73,2.3424657534246576,0
2018-11-23,136,28,4.857142857142857,0
2018-11-24,118,29,4.068965517241379,0
2018-11-25,328,31,10.580645161290322,0
2018-11-26,92,33,2.787878787878788,0
2018-11-27,134,29,4.620689655172414,0
2018-11-28,122,30,4.066666666666666,0
2018-11-29,173,37,4.675675675675675,0
2018-11-30,90,19,4.7368421052631575,0
2018-12-01,92,30,3.066666666666667,0
2018-12-02,152,36,4.222222222222222,0
2018-12-03,146,36,4.055555555555555,0
2018-12-04,172,41,4.195121951219512,0
2018-12-05,117,32,3.65625,0
2018-12-06,134,27,4.962962962962963,0
2018-12-07,573,22,26.045454545454547,1
2018-12-08,120,27,4.444444444444445,0
2018-12-09,110,32,3.4375,0
2018-12-10,248,64,3.875,0
2018-12-11,209,41,5.097560975609756,0
2018-12-12,119,21,5.666666666666667,0
2018-12-13,156,42,3.7142857142857144,0
2018-12-14,192,22,8.727272727272727,0
2018-12-15,120,25,4.8,0
2018-12-16,130,27,4.814814814814815,0
2018-12-17,160,34,4.705882352941177,0
2018-12-18,196,40,4.9,0
2018-12-19,184,46,4.0,0
2018-12-20,101,29,3.4827586206896552,0
2018-12-21,115,20,5.75,0
2018-12-22,151,41,3.682926829268293,0
2018-12-23,104,23,4.521739130434782,0
2018-12-24,119,28,4.25,0
2018-12-25,88,38,2.3157894736842106,0
2018-12-26,193,32,6.03125,0
2018-12-27,91,26,3.5,0
2018-12-28,113,24,4.708333333333333,0
2018-12-29,100,24,4.166666666666667,0
2018-12-30,91,33,2.757575757575758,0
2018-12-31,103,22,4.681818181818182,0
2019-01-01,118,26,4.538461538461538,0
